Epoch 000/014: train-loss 8521.6722 | lr 0.005000 | Time 2021-03-14 03:20:54
Epoch 001/014: train-loss 7269.2753 | lr 0.005000 | Time 2021-03-14 03:38:08
Epoch 002/014: train-loss 6908.6251 | lr 0.005000 | Time 2021-03-14 03:55:23
Epoch 003/014: train-loss 6665.3868 | lr 0.005000 | Time 2021-03-14 04:12:13
Epoch 004/014: train-loss 6520.4301 | lr 0.005000 | Time 2021-03-14 04:29:16
Epoch 005/014: train-loss 6389.3082 | lr 0.005000 | Time 2021-03-14 04:46:21
Epoch 006/014: train-loss 6253.0140 | lr 0.005000 | Time 2021-03-14 05:03:32
Epoch 007/014: train-loss 6175.5783 | lr 0.005000 | Time 2021-03-14 05:20:48
Epoch 008/014: train-loss 5774.2982 | lr 0.000500 | Time 2021-03-14 05:37:49
Epoch 009/014: train-loss 5676.5443 | lr 0.000500 | Time 2021-03-14 05:54:54
Epoch 010/014: train-loss 5630.4839 | lr 0.000500 | Time 2021-03-14 06:12:06
Epoch 011/014: train-loss 5591.2864 | lr 0.000500 | Time 2021-03-14 06:29:18
Epoch 012/014: train-loss 5521.0872 | lr 0.000050 | Time 2021-03-14 06:46:29
Epoch 013/014: train-loss 5511.1226 | lr 0.000050 | Time 2021-03-14 07:03:38
