Epoch 000/020: train-loss 14248.0101 | lr 0.005000 | Time 2021-03-09 09:20:23
Epoch 001/020: train-loss 13248.4335 | lr 0.005000 | Time 2021-03-09 10:01:50
Epoch 002/020: train-loss 12957.7057 | lr 0.005000 | Time 2021-03-09 10:43:14
Epoch 003/020: train-loss 12786.1347 | lr 0.005000 | Time 2021-03-09 11:24:49
Epoch 004/020: train-loss 12634.3685 | lr 0.005000 | Time 2021-03-09 12:06:25
Epoch 005/020: train-loss 12537.1683 | lr 0.005000 | Time 2021-03-09 12:47:58
Epoch 006/020: train-loss 12479.7042 | lr 0.005000 | Time 2021-03-09 13:29:31
Epoch 007/020: train-loss 12406.0204 | lr 0.005000 | Time 2021-03-09 14:10:53
Epoch 008/020: train-loss 12353.3615 | lr 0.005000 | Time 2021-03-09 14:52:13
Epoch 009/020: train-loss 12309.3772 | lr 0.005000 | Time 2021-03-09 15:33:34
Epoch 010/020: train-loss 11649.5282 | lr 0.000500 | Time 2021-03-09 16:15:03
Epoch 011/020: train-loss 11531.8702 | lr 0.000500 | Time 2021-03-09 16:56:28
Epoch 012/020: train-loss 11469.7219 | lr 0.000500 | Time 2021-03-09 17:37:54
Epoch 013/020: train-loss 11425.0160 | lr 0.000500 | Time 2021-03-09 18:19:21
Epoch 014/020: train-loss 11384.7264 | lr 0.000500 | Time 2021-03-09 19:00:44
Epoch 015/020: train-loss 11352.2521 | lr 0.000500 | Time 2021-03-09 19:42:10
Epoch 016/020: train-loss 11228.9387 | lr 0.000050 | Time 2021-03-09 20:23:35
Epoch 017/020: train-loss 11209.6675 | lr 0.000050 | Time 2021-03-09 21:05:00
Epoch 018/020: train-loss 11200.9462 | lr 0.000050 | Time 2021-03-09 21:46:40
Epoch 019/020: train-loss 11194.8315 | lr 0.000050 | Time 2021-03-09 22:28:00
